"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@infernovideo @IanPavelko @Model3Owners @Tesla On the Glympse app.",FALSE,0,"infernovideo",2020-03-07 03:12:58,FALSE,"1236127232541593602","1236127672998064131","27122307","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dave_Hillman",0,FALSE,FALSE,NA,NA
"2","@orthereaboot Tesla is just bad news",FALSE,0,"orthereaboot",2020-03-07 03:12:53,FALSE,"1235993955365515264","1236127652450365445","84950626","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThomasS32918110",0,FALSE,FALSE,NA,NA
"3","RT @VdarknessF: @grabaroot THANK YOU!
It's going to take me so damn long to wake people up!!!
Damn if I was spewing the falsities of Einste…",FALSE,0,NA,2020-03-07 03:12:49,FALSE,NA,"1236127636398759936",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","FURYOSA2",4,TRUE,FALSE,NA,NA
"4","@DJJazzyJody Tesla truck mobile! <U+0001F440>",FALSE,0,"DJJazzyJody",2020-03-07 03:12:45,FALSE,"1236107801841172480","1236127620057583617","121843145","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","diggitbrother",0,FALSE,FALSE,NA,NA
"5","@elonmusk Has anybody noticed what the corona virus panic has done to Tesla stock?",FALSE,0,"elonmusk",2020-03-07 03:12:39,FALSE,"1236029449042198528","1236127594673852416","44196397","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Rkirt",0,FALSE,FALSE,NA,NA
"6","@elonmusk Shame on you Elon! Your team could not honor the “$0 to add autopilot after delivery” which stated in the… https://t.co/giBWeCjt36",FALSE,0,"elonmusk",2020-03-07 03:12:30,TRUE,"1236115656472330240","1236127558107713537","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RLikadinata",0,FALSE,FALSE,NA,NA
"7","RT @TeslaOpinion: #ModelX is the first SUV to receive a perfect crash-test rating.

Tesla’s are rigorously designed to minimize chances of…",FALSE,0,NA,2020-03-07 03:12:25,FALSE,NA,"1236127538084274176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cazforshort1",9,TRUE,FALSE,NA,NA
"8","Tesla Shorts Still Have a Long Way To Go to Recoup Losses https://t.co/vqmirROBHT https://t.co/Tv6QZ21bRQ",FALSE,0,NA,2020-03-07 03:12:23,FALSE,NA,"1236127527883739142",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","myhitlinknews",0,FALSE,FALSE,NA,NA
"9","Tesla reportedly omitted 'hundreds' of injuries from government reports
https://t.co/JADj5aG2GX",FALSE,0,NA,2020-03-07 03:12:23,FALSE,NA,"1236127527845982209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Big_Surf",0,FALSE,FALSE,NA,NA
"10","@benroyyy @BBertoniere @elonmusk @Tesla Ty.  Then what do I look up? Type Fraud?",FALSE,0,"benroyyy",2020-03-07 03:12:23,FALSE,"1236127275789086720","1236127526067585024","264626779","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4xRevenue",0,FALSE,FALSE,NA,NA
